t,RIIp_C_2_Obs,AC_Fsk_Obs
0,0.28419222433586,-0.000525687078092064
4,0.267521330532818,NaN
8,0.250093872633579,NaN
10,0.246746388581479,-0.0745603234236606
15,0.00575546066196106,NaN
20,0.00503302328355342,NaN
25,NaN,0.579863404451644
30,0.00758589366727514,NaN
35,0.00639184064041364,NaN
40,NaN,0.589658224562329
45,0.00462832433166664,NaN
50,0.0161285684589828,0.48449750702941
65,-0.00246117496692788,NaN
70,NaN,0.570050544841944
85,NaN,0.52789931917837
100,NaN,0.521897579377074
150,NaN,0.546501144719461
200,NaN,0.573044196506162
250,NaN,0.558935629566272
