t,RIIp_C_2_Obs,pAC_Fsk_Obs
0,0.293129049988288,-0.113872325826836
10,NaN,-0.189730786849424
15,0.0671884227736262,NaN
25,NaN,0.144918928122382
30,0.0612584891097752,NaN
35,NaN,0.0648221006959832
50,0.0535086271451663,-0.13957520721635
60,NaN,-0.0483984778880628
65,0.0488185687145186,NaN
75,NaN,-0.00175353749942995
85,0.0531770458835587,NaN
95,NaN,0.0752716017060057
100,0.052351577837276,-0.115882686531444
150,0.0396723814760111,-0.0293626353291314
200,0.0493251407953164,-0.0920507942822654
250,0.0504677557911673,0.0264679558833289
300,0.0447042597745924,-0.0161688307956305
