t,GFP_Obs,X_mRNA_Obs,Z_mRNA_Obs
0,-46.8078200071219,208.513089713214,773.355657235638
25,NaN,NaN,-1.29897431185796
40,NaN,1.85912655892006,NaN
50,NaN,NaN,2.76855343555377
55,38.4626867675464,NaN,NaN
75,NaN,NaN,0.983396493754709
80,NaN,3.37720946668445,NaN
100,102.347759099674,11.9621234893824,5.43653613434573
150,74.1356344623385,0.536044340928142,10.5032137371487
200,NaN,1.34010218696118,-1.25875109445093
250,125.045150443753,3.06563542133414,-3.69433272058936
300,91.8319641282197,0.148205667106851,4.50065693092433
350,344.0799907468,NaN,NaN
400,NaN,-0.114984314896372,10.0667691812973
450,99.3280227579667,-0.827270630649021,NaN
550,239.252021937197,11.3225105680282,NaN
650,NaN,-0.534550363460782,NaN
700,396.877647735877,NaN,NaN
750,NaN,0.218975651573896,NaN
850,646.580859460794,NaN,NaN
900,NaN,18.872754568036,NaN
1000,398.735829399088,0.297819621241538,NaN
1500,195.440609072664,NaN,NaN
