t,p_IL13_Rec_Obs,STAT5_Obs,CD274mRNA_Obs
0,0.0203217436538978,167.086256824445,1.61584374427301
10,NaN,163.577503466094,12.7881338546152
15,0.113144992942709,NaN,NaN
25,0.12933256596897,97.0303441224145,-20.8733369232495
35,NaN,NaN,28.8307014751995
40,0.0922544324160251,69.8785155620191,NaN
50,NaN,73.5959080664119,41.7563514680042
55,0.0849085489064541,NaN,NaN
65,NaN,NaN,92.6996554757886
70,0.101206824202129,88.1471160828422,NaN
85,0.115626724737407,95.3693295614635,90.4924292008513
100,0.0993244128433466,112.408765969655,125.250600955439
150,0.0831215431011307,117.600059283134,193.872628258234
200,0.0897444646626498,94.5219319811601,209.98123410394
250,0.0786763586375558,161.096200892194,264.055563386791
300,0.068450185451348,122.686144745393,301.708940872976
