t,nucpApA_Obs,nucpBpB_Obs,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,-128.033790864413,-10.6224532374626,318.803838477137,-14.2303064501002,95.7334602263091
15,183.556400087722,80.7138064240884,64.6492888930955,NaN,NaN
20,NaN,NaN,NaN,NaN,222.040083407877
25,NaN,NaN,NaN,161.490889218478,NaN
30,296.533260480042,NaN,NaN,NaN,NaN
35,NaN,21.4799795382822,186.095982977793,NaN,268.412272627318
45,194.363076980969,NaN,NaN,NaN,NaN
50,NaN,NaN,130.732776663366,173.934630132051,NaN
55,NaN,48.4112105400453,NaN,NaN,344.107830068718
60,148.750644158984,NaN,NaN,NaN,NaN
70,NaN,NaN,-35.2744936843905,NaN,NaN
75,80.8039383918287,44.708481109087,NaN,NaN,261.126958767836
80,NaN,NaN,NaN,267.601972879067,NaN
85,NaN,NaN,124.32742936832,NaN,NaN
90,133.757919058164,NaN,NaN,NaN,NaN
95,NaN,38.9421099892991,NaN,NaN,193.114663869175
100,196.167315705092,40.6650534226651,287.236074778478,248.945206405446,143.868837634711
150,128.647030690081,39.8862378929425,-21.4953487040429,217.257695584694,193.126885980194
200,71.6312630898057,18.7245310845916,178.679241509749,133.01641700675,124.630495958385
250,47.341370445699,60.2292571038339,171.878141057262,231.148463141528,266.284638058194
300,150.695579514558,25.1277032675851,432.759981194764,20.5541707024509,199.782915096974
350,47.4488988196844,NaN,NaN,NaN,244.962899246664
400,NaN,16.7395575112087,55.0657548186009,299.993830046115,74.7938560965216
450,NaN,23.688229647007,NaN,175.633570173533,NaN
500,NaN,NaN,NaN,NaN,-29.472529899382
550,NaN,NaN,NaN,411.646284725822,NaN
650,NaN,NaN,NaN,454.876312391811,NaN
