t,npSTAT_npSTAT_Obs,nSTAT3_Obs,nSTAT4_Obs,nSTAT5_Obs
0,0.000113096982541017,7.77272490570524e-05,0,0
8,NaN,0.113153278750003,NaN,NaN
9.5,0.0555195987420974,NaN,0.181588820360329,NaN
10,NaN,NaN,NaN,0.135874451135092
15,NaN,0.136837055777193,NaN,NaN
20,0.0716363185571968,NaN,0.0535611420685401,0.104947939763103
25,NaN,0.228922586319802,NaN,NaN
30,0.0494016216706203,NaN,0.170977621120515,0.072303392589444
35,NaN,0.0579718279887551,NaN,NaN
40,0.0306295536952636,NaN,0.139680904284139,0.0845961467704749
45,NaN,0.0558444182126505,NaN,NaN
55,0.0107701883050217,0.0168388049181302,0.0261904321183842,0.0276930314399845
65,0.00584929729148601,NaN,0.0127029707939417,0.0209898834590791
70,NaN,0.0141857288019288,NaN,NaN
80,0.00225131679964548,NaN,0.00367562443334866,NaN
85,NaN,0.00349988330314229,NaN,0.00263154934349393
100,0.000315669112189871,0.000554534913717118,0.000935370977186044,0.00115053217027712
150,0.000115477082180885,0.000203731119854061,7.80951506476707e-05,4.58239160951319e-05
200,NaN,NaN,NaN,3.87855209990287e-05
