t,Rec2_Obs,IR1in_Obs,Uptake2_Obs
0,686.385635397581,0.120214294001642,10.422264863561
7,1317.98825695535,NaN,NaN
7.5,NaN,NaN,822.646844274667
8,NaN,18.7918552090463,NaN
15,889.666220407199,43.9745953462325,1239.90742077866
20,1071.47871526649,NaN,NaN
25,NaN,23.5219868715319,704.445241259309
30,1051.8803056767,NaN,1320.23693579389
35,NaN,19.8859496034975,NaN
40,596.100411763106,NaN,2369.80689005817
45,NaN,14.6000268228093,NaN
50,388.397696608513,NaN,1299.11401803752
55,NaN,30.1881945263566,NaN
65,650.166919205819,48.9371803030458,2195.09820118809
75,NaN,NaN,537.335850264249
80,247.969661843586,21.1033707241631,NaN
90,NaN,NaN,827.277815518703
95,NaN,33.2985781992656,NaN
100,867.380944147792,14.3462064667586,2964.83754208261
150,250.376934786596,16.2473636265142,1731.95162542476
200,NaN,31.0027933346988,1654.70616447945
