t,Rec2_Obs,IR1in_Obs,Uptake2_Obs
0,999.63342353613,0.0179541593802553,1.20094354919381
8,1903.40348833395,NaN,NaN
8.5,NaN,3.47857338522051,98.3473842974278
15,1747.3092667534,10.722796016857,89.4678745721588
25,1128.61689678936,20.5461761520195,134.116906878463
35,1119.11540493722,6.20148892612891,161.493275033279
40,3509.21131130741,NaN,NaN
45,NaN,6.04777548035598,477.043642732703
55,1210.79023763479,NaN,NaN
60,NaN,41.2343196214395,218.362649052976
65,2725.60872508842,NaN,NaN
70,NaN,7.34295479388656,247.063088601887
80,1383.11741600874,NaN,NaN
85,NaN,11.3055572956432,378.78433271079
95,626.351672956858,NaN,NaN
100,658.541562225509,6.80821236214053,377.907326197944
150,869.402944192408,20.8588475099548,382.720258804262
200,750.008725024579,12.892774733537,314.061532299175
