t,Rec2_Obs,IR1in_Obs,Uptake2_Obs
0,1390.32579180463,0.000656988956326904,0.092527405357675
8,792.596369434005,NaN,NaN
9.5,NaN,0.41150608479139,NaN
10,NaN,NaN,14.5616166352023
15,1036.19185548695,NaN,NaN
20,NaN,0.413715225588425,13.6398637502375
25,1443.82538196515,NaN,NaN
30,NaN,0.591370602083732,12.4247712822295
35,2831.71983686538,NaN,NaN
40,1055.85975116951,1.10069552538156,16.407677346815
50,1293.5434164699,NaN,NaN
55,NaN,1.45511679047722,20.9057402156345
65,903.922182936338,1.12853025088984,NaN
70,NaN,NaN,37.164879376845
75,1045.06675423578,NaN,NaN
85,NaN,0.709012944402771,28.2027237833306
95,891.570483771339,NaN,NaN
100,1726.70094978636,0.563601864408144,21.9912585424854
150,1205.74250693853,1.76556211266022,57.6096296930198
200,1685.65092575989,0.807601842861623,74.7328958363212
