t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,2.62406838270319,2.31120035898517,3.44853826759189,2.1547399372621,3.66791126343157,1.93763408068653
0.2,2.78211770794951,NaN,NaN,NaN,2.95365362570786,1.97244608657728
0.35,NaN,NaN,NaN,NaN,2.63254286079169,NaN
0.4,NaN,2.40311843734583,NaN,NaN,NaN,NaN
0.45,1.91131026616644,NaN,2.64378975209736,NaN,NaN,2.07034007074185
0.55,NaN,NaN,NaN,1.78836217490351,2.60009906032926,NaN
0.65,NaN,NaN,NaN,NaN,NaN,2.68374421023377
0.7,2.59755828771823,NaN,NaN,NaN,NaN,NaN
0.8,NaN,2.15998112759095,NaN,NaN,2.34694685367383,NaN
0.9,NaN,NaN,3.32406645552938,NaN,NaN,NaN
0.95,3.1451857127956,NaN,NaN,NaN,NaN,2.02875566602169
1,NaN,1.85850208955329,NaN,1.90617083950872,2.97798496965991,1.64743450559753
1.5,2.84393705103326,2.63923083257,3.11068673820426,1.84238286269942,2.99343865519289,2.10220675782092
2,2.51412449363183,NaN,4.08157026031359,NaN,3.55727258216014,2.02794430793694
2.5,2.39473163301643,2.23745952603216,2.83218409151736,1.7545465566733,2.95216301368979,1.57974158837871
3,3.45398749846037,2.48374333162627,3.79071247008858,2.255449825031,2.55290421407045,1.58629571620112
3.5,3.13166580546928,1.83279525875483,NaN,NaN,NaN,2.01233830601997
4,NaN,NaN,3.13374451073246,2.08167697755233,NaN,NaN
4.5,NaN,1.69752712147327,2.7571903811945,NaN,NaN,NaN
5,NaN,NaN,NaN,2.2585128179022,NaN,NaN
5.5,NaN,2.2166726094313,NaN,NaN,NaN,NaN
6,NaN,NaN,2.91321326330265,1.80145725489788,NaN,NaN
7,NaN,NaN,2.46388317409921,NaN,NaN,NaN
7.5,NaN,NaN,NaN,1.66559981647131,NaN,NaN
8.5,NaN,NaN,3.3936735358763,NaN,NaN,NaN
9.5,NaN,NaN,NaN,2.09761364450871,NaN,NaN
