t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,3.52989217779687,1.59225032704021,2.33186252880432,2.06473044797131,2.92603302877263,1.99277462544743
0.2,NaN,NaN,NaN,NaN,2.36273903481016,1.65463992296797
0.35,NaN,NaN,2.28057300354028,1.64272631302507,NaN,NaN
0.4,NaN,NaN,NaN,NaN,3.97345356489302,1.97020287869301
0.5,2.60980069061301,2.06359762703304,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,NaN,2.32486111755254,NaN
0.65,NaN,NaN,NaN,1.95204456731047,NaN,2.33883651309172
0.7,NaN,NaN,2.86917056089087,NaN,NaN,NaN
0.85,NaN,NaN,NaN,NaN,3.15452024448372,NaN
0.9,NaN,NaN,NaN,NaN,NaN,1.97517223751153
1,2.94293118532153,1.94744255248877,2.86290044149134,2.24126463166218,3.07688178301528,2.3281058078712
1.5,2.61458375338308,2.66240092659073,3.01167904132232,1.85767376611909,2.57604903330675,1.79613069584075
2,NaN,1.89152840440975,2.85596724329515,1.78151268700818,3.6801045065834,2.64434483581276
2.5,2.34652229579798,NaN,2.51875251613538,2.52762410555048,2.38458873964058,1.56094458687819
3,2.85545734638777,2.13777944492924,2.75233674824862,1.40361393020026,NaN,2.48141690389129
3.5,2.52067760147272,1.92405049024622,NaN,1.54224643109565,2.69255651705611,2.10771595496611
4,NaN,NaN,2.64491794879954,1.76780141238312,NaN,NaN
4.5,2.28292709438224,1.78401359017493,NaN,NaN,NaN,NaN
5,NaN,NaN,2.5252892812534,2.0685506473455,NaN,NaN
5.5,3.33842475476616,1.79639525682889,NaN,NaN,NaN,NaN
6,NaN,NaN,2.18350470407553,2.89276817612475,NaN,NaN
7,3.39492443454871,2.14650580486317,NaN,NaN,NaN,NaN
8.5,2.288212190754,NaN,NaN,NaN,NaN,NaN
