t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,2.98655793271734,2.23246505599952,2.56730433792324,2.29797586517082,3.39030738480825,2.15778839341178
0.2,NaN,NaN,NaN,NaN,NaN,1.44575251263426
0.25,NaN,NaN,NaN,NaN,2.83110037276442,NaN
0.4,NaN,NaN,3.29897898377423,NaN,NaN,NaN
0.45,NaN,NaN,NaN,NaN,NaN,2.14915214792117
0.5,NaN,NaN,NaN,NaN,3.47262288490007,NaN
0.55,NaN,NaN,NaN,2.28487834650006,NaN,NaN
0.7,NaN,NaN,NaN,NaN,NaN,2.2781094472935
0.75,NaN,NaN,NaN,NaN,3.03342826398725,NaN
0.85,NaN,NaN,2.5028327168039,NaN,NaN,NaN
1,NaN,NaN,NaN,1.88293518799677,3.45595126562015,2.33254993329333
1.5,NaN,NaN,3.37883002266335,2.29390767345229,2.31192184254683,1.74784962970988
2,NaN,NaN,2.78821477228853,NaN,3.31988790661985,1.85032376153533
2.5,NaN,NaN,2.64550113355742,1.94340810625314,3.15225373926373,2.80247402645939
3,NaN,2.14606526856315,3.01812038007253,1.77064293938274,3.02224723746553,1.75594374852488
3.5,2.7682496303141,NaN,2.68572302725332,NaN,NaN,NaN
4,NaN,NaN,NaN,2.24412097529019,3.17404769309801,NaN
4.5,NaN,NaN,2.24267220228553,NaN,NaN,NaN
5,NaN,NaN,NaN,1.78478629651825,NaN,NaN
5.5,NaN,NaN,2.36205891035614,NaN,NaN,NaN
6.5,NaN,2.15010932040221,NaN,1.6952453353045,NaN,NaN
7,NaN,NaN,3.41214167998319,NaN,NaN,NaN
7.5,1.64502357460073,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,2.06229166716644,NaN,NaN
10,2.82418609369083,1.9770195148776,NaN,NaN,NaN,NaN
15,NaN,1.79471477649815,NaN,NaN,NaN,NaN
20,3.04228918186848,2.21731706709894,NaN,NaN,NaN,NaN
