t,Rec_Obs,ppS3_Obs
0,3.38452188654836,-0.0179159742003852
20,2.98623557858267,NaN
40,2.71939731523365,NaN
45,NaN,0.314991356188584
60,2.49573164976593,NaN
85,2.54929006491633,NaN
95,NaN,0.371275397924912
100,2.37024222730749,NaN
150,2.33925692717691,0.4474967186932
200,2.20932512182468,0.451510786629627
250,2.25150813965105,0.376486250555277
300,2.42454695560914,NaN
350,2.35133019334018,0.0901173398413994
400,NaN,0.041446848922093
500,NaN,-0.00830448167621422
600,NaN,0.00196885487550172
750,NaN,-0.00182247402295603
