t,Rec_Obs,ppS3_Obs
0,3.25926205370159,0.0239791820900775
20,2.94973912532664,NaN
35,2.73012547558639,NaN
40,NaN,2.27270484362219
55,2.61073520777365,NaN
75,2.18843327064215,NaN
80,NaN,2.34933082306976
100,2.16665649145013,2.36870160188724
150,2.30398252028945,2.40248256064413
200,2.38534923027705,2.27062646998627
250,2.34836251223624,NaN
300,2.22335655836019,1.50147371390195
350,NaN,0.933921901150386
450,NaN,0.212239013928502
500,NaN,0.126587123212742
650,NaN,-0.042926495604283
750,NaN,-0.0638049838776291
