t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,59140762.2066864,7975.22816832642,8.30711742729853e-08,6.73055271627936e-06,371.840008379463,8.98050495754785e-06,6.48637995734088e-08,8973.57828199747
35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34035927.4660508
40,171232.740576721,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,NaN,11616686.4687998,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25209664.9735124
75,173419.850401995,NaN,NaN,NaN,223.604536860597,NaN,NaN,NaN
95,NaN,13823214.076668,NaN,NaN,NaN,NaN,NaN,NaN
100,98042.3122519728,NaN,NaN,NaN,NaN,NaN,NaN,14665160.3141921
150,47459.9881714253,8857470.90586844,NaN,NaN,343.129594498062,NaN,NaN,4779807.37343519
200,62926.5353316889,8919812.67156202,0.000382183993207405,NaN,NaN,NaN,NaN,2712480.69182285
250,NaN,2544440.01552161,NaN,NaN,361.534902490771,NaN,NaN,1943133.41386691
300,12956.7795893281,1003199.08881064,NaN,0.00668960540744573,286.081304775302,NaN,NaN,683388.734493729
350,13643.9397161103,NaN,NaN,NaN,NaN,NaN,NaN,510735.687912765
400,NaN,322748.005028962,3.00920125371688e-05,NaN,508.164300381498,NaN,3.6670429576358e-06,NaN
450,14759.9557776897,273128.868264855,NaN,NaN,NaN,0.00281789483044473,NaN,127593.869665264
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64435.0400790364
550,NaN,68069.9560313397,NaN,NaN,337.005732411447,NaN,NaN,NaN
650,NaN,14112.3285431791,2.53183713987206e-06,0.00104599512646284,305.804992784369,NaN,NaN,20041.5810648369
750,NaN,11849.4586134423,NaN,NaN,NaN,NaN,NaN,NaN
800,NaN,NaN,NaN,NaN,374.300877410264,NaN,1.75050536074914e-05,NaN
900,NaN,8376.01858085699,NaN,NaN,NaN,NaN,NaN,NaN
950,NaN,NaN,1.43244491475681e-06,NaN,NaN,0.0039433583602441,NaN,NaN
1000,NaN,NaN,1.11664065389758e-06,0.000413457829802505,319.894068917119,NaN,1.18435381384742e-05,NaN
1500,NaN,NaN,1.08852716384395e-06,0.000265160448882987,NaN,0.00327455424827272,1.40142350326477e-05,NaN
2000,NaN,NaN,NaN,0.000261324367536746,NaN,0.00212620230264255,2.73975320575398e-05,NaN
2500,NaN,NaN,NaN,0.000118038996359935,NaN,0.00202124755487979,NaN,NaN
3000,NaN,NaN,NaN,0.000155768723819257,NaN,NaN,1.9833237540697e-05,NaN
3500,NaN,NaN,NaN,NaN,NaN,0.00122838031539169,1.49865522142474e-05,NaN
4000,NaN,NaN,NaN,0.000146781086213947,NaN,0.000981348340175661,1.48192227641801e-05,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.000282018594438314,1.09852685188125e-05,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000271480614549088,7.70114885877668e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.00033078302204013,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,4.6874498667618e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000112052295158627,3.96449257519131e-06,NaN
