t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,63026837.9602514,8958.06159397863,9.63898598791397e-08,1.44743324555591e-05,320.910786135451,6.60597441280189e-06,1.20256823118799e-07,10813.790925614
40,26792632.8762142,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25352655.0803228
65,NaN,11194165.8062092,NaN,NaN,NaN,NaN,NaN,NaN
80,18151005.052215,NaN,NaN,NaN,353.071251674826,NaN,NaN,NaN
100,6839341.47116799,NaN,NaN,NaN,NaN,NaN,NaN,18116511.4118909
150,2268410.22757959,13185017.8005161,NaN,NaN,482.373501684555,NaN,NaN,11614743.4612359
200,1374279.29782921,7410498.27601128,0.000238435968037683,NaN,NaN,NaN,NaN,6488011.49039834
250,NaN,NaN,NaN,0.0108568965413963,563.57725138898,NaN,NaN,NaN
300,321383.492140596,2433106.15802283,NaN,NaN,NaN,NaN,NaN,1758398.28217429
350,248894.284747888,1300150.87560107,NaN,NaN,267.249504018454,NaN,NaN,899285.181549758
400,NaN,NaN,NaN,NaN,NaN,NaN,3.47007807876188e-06,NaN
450,141098.874527568,467598.659209316,4.54458413116559e-05,NaN,168.012890730266,NaN,NaN,284217.644271824
550,NaN,118929.864144193,NaN,0.00308844880286817,NaN,0.00336156719181865,NaN,75021.3040995952
600,NaN,NaN,NaN,NaN,219.166796902445,NaN,NaN,NaN
700,NaN,33731.0744557917,NaN,NaN,NaN,NaN,NaN,29371.2402213349
750,NaN,NaN,2.02984379989891e-06,NaN,231.367063261459,NaN,NaN,NaN
850,NaN,16937.468913724,NaN,0.000734373868967508,NaN,NaN,1.47627814931244e-05,22398.409019458
900,NaN,NaN,NaN,NaN,347.661066076857,NaN,NaN,NaN
1000,NaN,18515.0113247918,8.77813634976038e-07,0.00040808113513573,298.955232873672,0.00192229148934464,NaN,NaN
1500,NaN,NaN,8.24116602467164e-07,0.000228202307180925,256.385761764303,0.00245261126532714,1.2943290477465e-05,NaN
2000,NaN,NaN,9.15873343003361e-07,0.000157740310138913,NaN,NaN,1.26299344348873e-05,NaN
2500,NaN,NaN,NaN,0.000291292976881299,NaN,0.000905994804031482,2.03051877912931e-05,NaN
3000,NaN,NaN,NaN,0.000123803461752133,NaN,0.00116070826850373,1.22094960340006e-05,NaN
3500,NaN,NaN,NaN,0.000161673495542151,NaN,NaN,1.4719467752732e-05,NaN
4000,NaN,NaN,NaN,NaN,NaN,0.00102360820241742,2.08186985065531e-05,NaN
4500,NaN,NaN,NaN,NaN,NaN,0.000575720149686066,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,1.01607497010354e-05,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000284361508026571,7.59692988532439e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000228725770708061,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,5.30333610049302e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.00013416549035686,3.15289332632955e-06,NaN
