t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,58599879.9287592,16484.1728364323,1.00623623347286e-07,8.17807756197126e-06,689.086149822705,4.29200866726973e-06,1.54378058290351e-07,15254.6486942954
50,40429251.8803158,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,469.434893573995,NaN,NaN,NaN
65,NaN,8278200.7926849,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6441121.79003977
100,28013031.6377939,NaN,NaN,NaN,328.234590754736,NaN,NaN,NaN
150,41187980.4346272,7333899.18711574,NaN,NaN,414.37510200826,NaN,NaN,18000552.4223202
200,19041743.7477294,4965088.4989592,0.00032881746173301,NaN,NaN,NaN,NaN,NaN
250,8994908.34089672,NaN,NaN,NaN,333.247456617032,NaN,NaN,5928118.14790912
300,NaN,3642075.80912476,NaN,NaN,359.170828386953,NaN,NaN,NaN
350,4009638.37853345,3446704.95006385,NaN,0.0107162750271012,NaN,NaN,NaN,2162372.64258886
400,2206438.79366279,NaN,0.000128032734787728,NaN,497.086831594217,NaN,3.56849210345108e-06,NaN
450,NaN,1496437.45655093,NaN,NaN,NaN,NaN,NaN,1202235.66064083
500,1204692.67382078,NaN,NaN,NaN,314.576149848024,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,0.00343314702258882,NaN,858889.821507517
600,862134.965329568,582570.911870788,4.5366833899637e-05,NaN,NaN,NaN,NaN,NaN
650,NaN,NaN,NaN,NaN,442.762299055848,NaN,NaN,NaN
700,269963.594992371,173461.763554146,NaN,0.00354478655760178,NaN,NaN,NaN,235378.308684439
800,NaN,NaN,NaN,NaN,226.626960517574,NaN,1.38114524461053e-05,NaN
850,231938.976443868,90266.4301611569,1.16723410923053e-05,NaN,NaN,NaN,NaN,160577.788874714
1000,97667.3200827273,21626.9003884446,5.37497316907097e-06,0.000963785823393086,NaN,0.00357813695236863,1.65304334408069e-05,30219.1664035444
1500,NaN,NaN,9.20380834604198e-07,0.000163844270563061,NaN,0.00348256363991437,1.19565474978255e-05,17357.3537316215
2000,NaN,NaN,NaN,0.000356229651180887,NaN,NaN,2.35644194677398e-05,NaN
2500,NaN,NaN,NaN,0.000251016369548072,NaN,0.00165266701373014,2.09792649642448e-05,NaN
3000,NaN,NaN,NaN,0.000139263164014847,NaN,0.00174869515364756,1.66170561570816e-05,NaN
4000,NaN,NaN,NaN,7.98336873966371e-05,NaN,0.000365142479525089,2.00997182594136e-05,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,1.01495268991804e-05,NaN
5000,NaN,NaN,NaN,7.26937077925691e-05,NaN,0.000324945563002763,NaN,NaN
5500,NaN,NaN,NaN,NaN,NaN,NaN,1.13197079418316e-05,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000399983214605309,NaN,NaN
6500,NaN,NaN,NaN,NaN,NaN,NaN,9.96417335822124e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000149657721821515,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,7.23664701711191e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000108194369882706,2.70946805147296e-06,NaN
