t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,47063741.0442392,1012.90288386902,1.5848500179758e-07,1.1212640953993e-06,310.808605141993,1.47723429029372e-06,8.51432492067776e-09,2404.62694852083
75,NaN,NaN,NaN,NaN,581.345917995363,NaN,NaN,NaN
100,29355201.1337851,NaN,NaN,NaN,NaN,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,434.857910134446,NaN,NaN,1723483.20346748
200,23171210.0521754,1499799.16099596,0.000177585868897638,NaN,NaN,NaN,NaN,NaN
250,NaN,NaN,NaN,NaN,324.580061271391,NaN,NaN,NaN
300,NaN,NaN,NaN,NaN,471.27671110967,NaN,NaN,791588.237825614
350,12744127.0914813,NaN,NaN,0.00223769167166417,NaN,NaN,NaN,NaN
400,NaN,536966.262541694,NaN,NaN,NaN,NaN,NaN,NaN
450,24467276.1104129,NaN,0.000102397979905792,NaN,425.015040621669,NaN,1.69282804731705e-06,1174266.54789304
500,NaN,NaN,NaN,NaN,NaN,0.000930700626105995,NaN,NaN
550,10464312.198646,NaN,NaN,NaN,404.414315529575,NaN,NaN,NaN
600,NaN,303515.75210757,NaN,NaN,NaN,NaN,NaN,824515.945917042
700,14443263.3619907,NaN,3.99759651344705e-05,0.00237592627189916,318.987467264396,NaN,NaN,NaN
800,NaN,213451.412549643,NaN,NaN,NaN,NaN,NaN,360482.404204408
850,8606400.88661063,NaN,NaN,NaN,NaN,NaN,5.31612717023635e-06,NaN
900,NaN,NaN,NaN,NaN,303.952179637359,NaN,NaN,NaN
950,NaN,NaN,4.09222462084496e-05,NaN,NaN,NaN,NaN,NaN
1000,2454692.37896569,162792.375390332,NaN,0.00126981625649515,404.305916719436,0.00332620025890874,NaN,192741.751818293
1500,1520261.39697524,69541.6289169942,7.64563349611164e-06,0.000644848706048016,NaN,0.00211110268353976,9.81217416780018e-06,68162.9926844702
2000,360991.549970489,25741.8367105207,NaN,0.000333946818614706,NaN,0.00149069458016929,1.55208215324224e-05,NaN
2500,332903.779871722,NaN,NaN,0.000219952602864462,NaN,0.000862514750126442,1.80394708916254e-05,NaN
3000,NaN,NaN,NaN,0.000139786441879657,NaN,NaN,1.37348525433914e-05,NaN
3500,NaN,NaN,NaN,NaN,NaN,0.000474515054408234,2.17721609118255e-05,NaN
4000,NaN,NaN,NaN,9.50150930902416e-05,NaN,0.000640092288882086,NaN,NaN
4500,NaN,NaN,NaN,4.95386652885499e-05,NaN,NaN,5.36361012065919e-06,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.000274655867518135,7.23014241117005e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000170510267335481,4.58825668714466e-06,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000147622067255658,2.72695198860444e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,7.13034750657262e-05,4.02551562019341e-06,NaN
