t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,46716134.3184147,10587.2452326986,1.28780458972299e-07,1.12507511807228e-05,262.367527728871,6.9109967090138e-06,1.52253811163088e-07,11610.8624133025
50,NaN,NaN,NaN,NaN,349.563954052542,NaN,NaN,NaN
90,29782946.136476,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,6723500.48139727,NaN,NaN,360.12712179836,NaN,NaN,NaN
150,NaN,NaN,NaN,NaN,366.433344089994,NaN,NaN,4374854.53587831
200,26380575.1448919,NaN,NaN,NaN,315.915226020578,NaN,NaN,NaN
250,23457455.9187841,2683583.10521716,0.000175928530759278,NaN,NaN,NaN,NaN,2958502.3725549
300,NaN,NaN,NaN,NaN,194.554026880309,NaN,NaN,NaN
350,NaN,NaN,NaN,0.00733816075920568,286.551851112934,NaN,NaN,NaN
400,9044829.23746082,2517945.91836335,NaN,NaN,NaN,NaN,2.0025909877526e-06,1420639.67716906
450,NaN,NaN,0.000121970666705404,NaN,322.069148202058,NaN,NaN,NaN
500,9985440.19016117,NaN,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,827617.564888546,NaN,NaN,407.63529672103,NaN,NaN,NaN
600,3564289.26846891,NaN,NaN,NaN,NaN,0.00205478418737448,NaN,671846.66564227
700,NaN,517042.515947251,NaN,0.00274938032502713,297.540345831135,NaN,NaN,NaN
750,3102746.26588124,NaN,4.44867317333196e-05,NaN,NaN,NaN,NaN,461393.631234093
850,NaN,NaN,NaN,NaN,363.758706433677,NaN,6.64965033084971e-06,NaN
900,NaN,214899.292581088,NaN,NaN,NaN,NaN,NaN,NaN
950,1337717.34340831,NaN,NaN,NaN,NaN,NaN,NaN,219903.335847041
1000,898331.917903674,135513.806825737,1.92472289631239e-05,0.00217685213673548,NaN,0.00461946851558942,NaN,333002.006217075
1500,373973.048097006,NaN,8.89914769319215e-06,0.000517034859882242,NaN,NaN,1.74619035704293e-05,33105.2362811764
2000,NaN,NaN,1.12218052225607e-06,0.000253654242786053,NaN,0.00194184207569719,2.35156999977281e-05,16981.9969053112
2500,NaN,NaN,NaN,0.000170012033900969,NaN,0.0014087679661572,2.69305412931004e-05,20654.7998451375
3000,NaN,NaN,NaN,0.000115521472616619,NaN,NaN,1.62145294575292e-05,NaN
3500,NaN,NaN,NaN,8.03190942387481e-05,NaN,0.00117001648984805,1.27713576987337e-05,NaN
4000,NaN,NaN,NaN,NaN,NaN,NaN,2.16671045879666e-05,NaN
4500,NaN,NaN,NaN,5.39230175551872e-05,NaN,0.000522105425850811,NaN,NaN
5000,NaN,NaN,NaN,NaN,NaN,NaN,1.10722739060175e-05,NaN
5500,NaN,NaN,NaN,7.61355420429725e-05,NaN,0.000311786050366809,NaN,NaN
6000,NaN,NaN,NaN,NaN,NaN,NaN,7.33625808772262e-06,NaN
7000,NaN,NaN,NaN,NaN,NaN,0.000243369180532697,NaN,NaN
7500,NaN,NaN,NaN,NaN,NaN,NaN,5.79576581903457e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,9.61981686238637e-05,2.78792807674655e-06,NaN
