t,EGFR_Obs,pEGFR_Obs,pEGFR_Akt_Obs,pAkt_Obs,S6_Obs,pAkt_S6_Obs,pS6_Obs,EGF_EGFR_Obs
0,54063114.075029,14781.6042073986,8.17855281041733e-08,1.37794673102582e-05,450.84949211376,8.24262739033525e-06,6.72237155620979e-08,11659.6361082103
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43706143.6391362
35,5928050.99603135,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,11779711.7294741,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30333759.1629738
75,1124737.3977821,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,13417090.417882,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17632970.0691446
100,428272.502751213,15081884.7673032,NaN,NaN,NaN,NaN,NaN,NaN
150,288137.707548058,9735621.7303127,NaN,NaN,479.409317100851,NaN,NaN,5307540.16213254
200,61963.6888232725,8182602.2623929,NaN,NaN,NaN,NaN,NaN,3296555.15358285
250,46209.8133681898,2301748.35651514,0.000273004695208695,NaN,601.270132703689,NaN,NaN,1336239.6836175
300,NaN,NaN,NaN,0.00634657503864772,NaN,NaN,NaN,895726.250799482
350,32398.3539357149,710175.768586465,NaN,NaN,NaN,NaN,NaN,371204.937596299
400,NaN,375565.09579805,NaN,NaN,295.121530949513,NaN,5.65143932574359e-06,293173.720401149
450,28977.672840131,144230.028420199,NaN,NaN,NaN,NaN,NaN,133203.827579534
500,NaN,NaN,1.4446012926066e-05,NaN,NaN,0.00321305639921362,NaN,NaN
550,NaN,68674.1170012268,NaN,NaN,702.691062049113,NaN,NaN,51581.9990777517
600,NaN,NaN,NaN,0.00144008284413418,NaN,NaN,NaN,NaN
650,NaN,26195.713213958,NaN,NaN,NaN,NaN,NaN,23462.8164763198
750,NaN,NaN,1.275695819675e-06,NaN,237.192393826455,NaN,1.11350095503913e-05,NaN
800,NaN,24568.6048596468,NaN,NaN,NaN,NaN,NaN,NaN
900,NaN,NaN,NaN,0.000426782444317058,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,308.108075331959,0.00253776398091459,NaN,NaN
1000,NaN,NaN,1.31262816116153e-06,NaN,451.368270573036,NaN,1.88718856942206e-05,NaN
1500,NaN,NaN,1.42534400740948e-06,0.000360044212166143,534.247546209553,0.00202203234721854,2.83062086738071e-05,NaN
2000,NaN,NaN,1.37803428734872e-06,0.000193708516862299,297.722021222308,0.00202764152362277,1.7156081413563e-05,NaN
2500,NaN,NaN,NaN,0.000106799610878513,NaN,0.00122657938650341,2.66229939343504e-05,NaN
3000,NaN,NaN,NaN,NaN,NaN,NaN,2.1557334878632e-05,NaN
3500,NaN,NaN,NaN,0.000160884047400553,NaN,0.000877986836803663,1.7886133863321e-05,NaN
4000,NaN,NaN,NaN,0.000142780034035516,NaN,0.000742374903343325,NaN,NaN
4500,NaN,NaN,NaN,NaN,NaN,NaN,1.50019024573974e-05,NaN
5000,NaN,NaN,NaN,NaN,NaN,0.00052544666930612,8.08210797217835e-06,NaN
6000,NaN,NaN,NaN,NaN,NaN,0.000322494283180572,1.15364842963068e-05,NaN
7500,NaN,NaN,NaN,NaN,NaN,0.000154665131704435,4.10274455517831e-06,NaN
8500,NaN,NaN,NaN,NaN,NaN,0.000121672721760531,2.95834601240671e-06,NaN
