t,Naive_Obs,LateEffector_Obs,Memory_Obs,Pathogen_Obs
0,7954.71982098206,3137.68354503712,-87.1530972543818,1.11797193391288
1.5,NaN,NaN,NaN,1.49330787285607
2,3553.71432990299,NaN,NaN,NaN
2.5,NaN,2900.87315593431,NaN,NaN
3,NaN,NaN,NaN,2.85537987481655
3.5,NaN,NaN,-1210.09511792927,NaN
4,1185.53867026988,NaN,NaN,NaN
4.5,NaN,NaN,NaN,18.0494626502089
5,NaN,301121.877596422,NaN,NaN
6,320.657409208334,NaN,NaN,-0.098252226833425
7,NaN,NaN,6335.67975334666,NaN
8,NaN,57061.4929874402,NaN,-0.190969436625999
8.5,-214.332982494827,NaN,NaN,NaN
10,-131.280242709605,30286.7227673705,8617.893624513,-0.122190285114809
15,234.216519952372,26653.6006561329,8257.80819651052,-0.0039708642974962
20,-31.948068628225,11963.6389783351,7825.03535342797,0.231701911550542
25,NaN,22613.9844071204,11298.5522373981,-0.21138532549233
30,NaN,11155.543855573,10191.5457066191,-0.158246282196046
35,NaN,NaN,10875.5512750213,NaN
45,NaN,NaN,9537.52044181535,NaN
55,NaN,NaN,10190.8159890154,NaN
70,NaN,NaN,11349.8166405503,NaN
