t,Z_state_Obs,Y_state_Obs
0,0.104652627440771,1.12432406713508
0.3,NaN,2.34280199085348
0.45,0.0616260494699932,NaN
0.6,NaN,2.69638114320534
0.9,0.0827574377524638,NaN
0.95,NaN,4.18158149785809
1.5,0.216352881968624,4.3481242516254
2,0.180610010146615,7.74252473725698
2.5,0.293875500063462,7.56078501210246
3,0.263122949324942,5.03898320852713
3.5,0.374570258762561,5.48537617428972
4.5,0.35433175021654,10.7842932359887
5,NaN,6.20150207529372
5.5,0.393954538789045,NaN
6,NaN,6.83143502726195
6.5,0.34431496638822,NaN
8,0.383375965549444,NaN
