t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0320257077245548,0.00113104572197133,21.9219839971665,0.318747066766277
10,11.813135977431,NaN,111.164466688114,7.48390390098878
20,2.51554640038012,0.21101276802264,34.3210719027798,7.61512652946251
30,NaN,NaN,27.8057353603685,NaN
35,0.0458586462629419,0.166932730093285,NaN,0.237216654539154
45,0.0101669437191768,NaN,18.7931404636348,0.0179302443287448
55,NaN,0.0260528565351743,NaN,NaN
60,0.00878608496372074,NaN,31.3146737261942,0.0166435150970822
75,NaN,NaN,21.6452721035651,NaN
80,0.0101677159278184,0.000476780343492716,NaN,0.0792154206526658
90,NaN,NaN,27.5407922983406,NaN
100,0.0123962170606493,0.000184643694548768,35.2503301069348,0.159835430623581
150,NaN,0.000292938362656331,27.2436863581483,NaN
200,NaN,0.000653837563193401,NaN,NaN
250,NaN,0.00145659617257213,NaN,NaN
