t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0206862473566298,0.000778945464835137,25.7416442124828,0.30821868484373
9,NaN,NaN,54.9279671494886,NaN
9.5,NaN,NaN,NaN,0.722532068999759
10,1.03990857242914,0.00231242557843263,NaN,NaN
20,2.69947576474318,NaN,41.9652114544183,2.43670753995889
25,NaN,0.0607121873040651,NaN,NaN
30,0.333115095757989,NaN,27.4723269914986,1.12930004856065
35,NaN,0.125812070615525,NaN,NaN
40,NaN,NaN,15.4340905445161,NaN
45,0.00509781780349607,NaN,NaN,0.0866484464718664
50,NaN,0.0344689843304612,NaN,NaN
55,NaN,NaN,16.3112945540303,NaN
60,0.000839259243656196,NaN,NaN,0.0236459004279456
65,NaN,0.00452410705870283,NaN,NaN
70,NaN,NaN,34.4663677421631,NaN
75,NaN,NaN,NaN,0.0625815202174368
80,0.0251230380628862,NaN,NaN,NaN
85,NaN,0.000462926202129066,28.6460049272491,NaN
95,NaN,NaN,NaN,0.385922383491217
100,0.671703511583991,0.00778763009325711,54.9651687255888,0.292766284622722
150,0.0519261896827756,0.00136820004534068,37.1361327670372,NaN
