t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0279678779806392,0.00170671369472854,29.2381533357875,0.508772187064574
7.5,NaN,NaN,43.6920129740874,NaN
9,2.41073835007663,NaN,NaN,NaN
10,NaN,NaN,NaN,1.66367364612203
15,NaN,0.00942247503535874,48.8268335161992,NaN
20,4.1058969145302,NaN,NaN,NaN
25,NaN,0.183274600024923,32.4591944546842,2.66615241724002
30,0.265849163736631,NaN,23.6031935344462,NaN
40,0.0461827572430524,0.16409357573921,13.4280735964568,0.137116364375714
55,0.00786734233277983,NaN,21.6220809760479,0.0126949776268179
60,NaN,0.0121495540494222,NaN,NaN
70,0.0145599701742412,NaN,23.2581030246129,NaN
75,NaN,NaN,NaN,0.0533339216654095
80,NaN,0.000613024510082232,NaN,NaN
85,0.291561611532486,NaN,24.456952998898,NaN
95,NaN,NaN,NaN,0.828551331179097
100,0.913321104466406,0.0124686159448243,22.7246300422818,0.557456546393519
150,0.224590139405724,0.00105760174162587,NaN,0.0747699809226794
