t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0396309733696798,0.000711085310958921,0.484501365397553
6,NaN,NaN,0.927590390360845
7,NaN,0.000990117422975775,NaN
10,NaN,NaN,6.7777591053783
15,8.81721217123482,0.0356448602590561,NaN
20,NaN,0.233750978732219,7.48402573175564
25,0.644047872842043,NaN,3.93104624172873
30,NaN,0.224935636053344,NaN
35,NaN,NaN,0.333266750502921
40,0.0158249199201228,0.175848879243597,NaN
45,NaN,NaN,0.0209338011535586
50,NaN,0.0603868743434418,NaN
55,NaN,NaN,0.00774429624010665
60,0.00734771429888714,NaN,NaN
65,NaN,0.00340510167791767,NaN
70,NaN,NaN,0.0549602194621777
80,0.00979180975231195,0.000284278578455783,NaN
85,NaN,NaN,0.0821148335602225
100,0.00882539869787376,NaN,NaN
