t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.024545760595878,0.00106574577883187,0.353946930461229
9,25.3304269360042,NaN,NaN
10,NaN,NaN,11.8568534682207
20,8.16829864995345,0.8680688999544,14.6223835721064
30,0.279735030584168,NaN,NaN
35,NaN,NaN,0.373379956521687
40,0.0255222641728949,0.371912373920442,NaN
45,NaN,NaN,0.0541518707996682
55,0.011980472505857,NaN,NaN
60,NaN,0.0277256986771013,0.00972604280211858
75,0.0880506510981788,NaN,NaN
80,NaN,0.00077091882201731,0.220291220557511
90,2.47086298687784,NaN,NaN
100,NaN,0.0450069425568222,1.15241888893216
150,NaN,0.00045213073493944,NaN
200,NaN,0.000151970197330601,NaN
250,NaN,0.000666549956058391,NaN
300,NaN,0.00160167226731277,NaN
350,NaN,0.00166366646721762,NaN
