t,nSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs
0,15.2784426754095,0.0300215070075794,0.0126237121351634,0.00110077320663544,22.4025798121109,0.533629426918314
6.5,55.4699038800716,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,92.0403435065527,3.22716028130875
9,NaN,13.0404061137313,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.00384204245421487,NaN,NaN
15,59.2822804190994,NaN,3.70915809719631,NaN,81.9277434227976,16.9706238782699
20,43.6197701641002,4.75634186966787,NaN,0.236415175548166,NaN,NaN
25,NaN,NaN,12.8367412732092,NaN,31.566118044911,3.60561618246572
30,23.5583771355984,0.325138955976498,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,0.595629767914576,NaN,0.475340271512903
40,15.7899784446339,0.0316719850089856,1.99962245484065,NaN,19.3148299718364,NaN
50,24.6794500511709,0.0138138504660881,NaN,0.0732655229280019,25.4651903736028,0.0102426815762545
60,NaN,NaN,0.122661183877168,NaN,NaN,0.0120059397678105
65,24.4535227422326,0.00986129406880455,NaN,0.00805644283146085,27.6920155690174,NaN
75,NaN,NaN,0.00319023258443959,NaN,NaN,0.0570577277799149
80,34.6698286744494,0.438236202247334,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.00108961533062374,47.4258670066306,NaN
95,49.4173279898641,NaN,0.273493370566216,NaN,NaN,1.41277692722978
100,NaN,1.64475426553878,0.631511170572899,0.0297766609488068,35.7068379755184,1.92270576551867
150,NaN,0.397275265004902,0.029720153576376,0.00166641875744746,NaN,NaN
200,NaN,NaN,0.0360754257170683,NaN,NaN,NaN
