t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0332912751130519,0.00117442775725162,0.388977723216201
9.5,NaN,NaN,5.11379077163799
10,4.89346943537266,NaN,NaN
15,NaN,0.0195322656781231,NaN
20,5.17715681656235,NaN,8.685247469134
30,NaN,0.252697260691845,1.22280484598741
35,0.13247648031268,NaN,NaN
40,NaN,NaN,0.105809150809174
45,0.0184754465572804,NaN,NaN
50,NaN,0.0548860721031381,NaN
55,NaN,NaN,0.0105029543504576
65,0.00914085164638638,NaN,NaN
70,NaN,0.00318166739181324,0.0258754717755066
80,0.00762056915331311,NaN,NaN
85,NaN,NaN,0.0847376296132682
90,NaN,0.000116798545951958,NaN
100,0.0110964108959041,0.000136827012984444,0.15464748763053
