t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0236086574903108,0.00404224002176363,0.514775169925276
7,33.2066159195153,NaN,NaN
9.5,NaN,NaN,18.3973905855243
15,23.5690821806132,0.135959695666067,NaN
20,NaN,NaN,16.962622298355
25,2.251452134444,NaN,NaN
30,0.272609155977218,0.875458477021776,1.98574312492455
40,NaN,NaN,0.107673236361428
45,0.0137895373067414,0.13108935068287,NaN
55,0.00881794588653172,NaN,0.0086621212752551
65,NaN,0.0106027440512696,NaN
70,0.0136015875849951,NaN,0.0230432689293208
85,NaN,0.00182187617415818,0.0829626733049079
100,NaN,0.000961971913515966,0.0970643948880686
150,NaN,0.000982903094917924,NaN
