t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0386655493224234,0.00353193672920193,0.389875319153504
8.5,15.7612484152125,NaN,NaN
10,NaN,0.00754127885188207,11.9468651991045
15,23.5742795833658,NaN,NaN
20,NaN,0.498758384893151,14.3230062178292
25,1.1692502620919,NaN,NaN
30,NaN,NaN,1.72432903764392
35,NaN,0.413017950971646,NaN
40,0.0365624106137742,NaN,NaN
45,NaN,NaN,0.0402242047193596
50,0.0143361756778924,0.0942678566067556,NaN
60,NaN,NaN,0.00913984682023663
65,0.00763902840402206,0.00890895522282672,NaN
75,NaN,NaN,0.0291751015288906
85,0.0109286961579745,0.00109256854157947,NaN
95,NaN,NaN,0.0567770595577773
100,NaN,0.000813776346783158,NaN
