t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0429944927623448,0.00218531983542264,0.44235944022531
9,26.6125945739403,NaN,NaN
10,NaN,NaN,17.4771882219322
15,NaN,0.124939010634987,NaN
20,5.43508662614885,NaN,10.9289346924256
30,0.188070111894801,0.666371769370607,NaN
35,NaN,NaN,0.364343337714288
40,0.0144271915449837,NaN,NaN
45,NaN,0.141495911606381,0.0271419903876232
55,0.00927644710152464,NaN,NaN
60,NaN,0.014534058835221,0.0241453203547904
70,0.0100805617602901,NaN,NaN
80,NaN,0.00167264702253554,0.042815774592151
90,0.00945079584451593,NaN,NaN
100,NaN,0.00105077990878237,0.104628893900065
150,NaN,0.00145516481585612,NaN
200,NaN,0.00167699129161078,NaN
