t,input_il6,SOCS3RNA_Obs
300,0.1,0.000485189569588071
300,0.1,0.000578001658946041
300,0.5,0.000939922982878843
300,0.5,0.00112564510534586
300,1,0.00150098700667193
300,1,0.00238092596597339
300,2.5,0.00164654141107158
300,2.5,0.00255905716107712
300,5,0.00210791631092315
300,5,0.00217382718306216
300,10,0.00273593578197917
300,10,0.00354341496554065
300,25,0.00265301585442328
300,25,0.00321976246531292
300,50,0.00180843844854639
300,50,0.00316349618843879
300,100,0.00705764256105211
300,100,0.0170811368253291
300,500,0.0774831294097753
300,500,0.0989921966356897
