t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0220154817220999,0.000919572782083878,0.483692218460338
9.5,0.287998700164756,NaN,0.478558890731457
10,NaN,0.00126283759477791,NaN
20,1.89936402743465,NaN,1.15026502850089
25,NaN,0.0145665775295681,NaN
30,0.367714139673015,NaN,1.09500742365369
35,NaN,0.052058172987239,NaN
40,0.0299625341955155,NaN,0.136924690296336
50,NaN,0.0202753015085184,NaN
55,0.00150409096645389,NaN,0.024571642428808
65,NaN,0.00242307864140505,NaN
70,0.00147998551874673,NaN,NaN
75,NaN,NaN,0.0691022195001175
85,NaN,0.000292720263846552,NaN
90,0.0759557302026552,NaN,NaN
95,NaN,NaN,0.161522143827789
100,0.123616655777222,0.00108149680680356,0.210385074279671
150,0.0354509314430677,0.00401374470442051,NaN
