t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.076380745597817,0.00284735943956941,0.315644302627097
10,22.4559227570632,0.00906826036873501,10.0024733094298
20,6.70427399331412,NaN,18.8836697579843
25,NaN,0.538605525413706,NaN
35,0.0589304446179034,NaN,0.746216655726432
40,NaN,0.371605964118996,NaN
45,NaN,NaN,0.0606748507231422
50,0.0130528459652927,NaN,NaN
55,NaN,0.0332773611086803,NaN
60,NaN,NaN,0.0126471370879834
65,0.0108811168863237,NaN,NaN
75,NaN,0.0024266564172215,NaN
80,NaN,NaN,0.0848687612142312
85,0.00662534258937894,NaN,NaN
95,NaN,0.00130344628883457,NaN
100,0.0130054361431624,NaN,0.124548722573339
