t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0451020968292967,0.00188608010612621,0.399078587092287
3,NaN,NaN,0.345060114468866
4.5,3.05791227652508,NaN,NaN
5,NaN,0.0025676913026588,NaN
6,NaN,NaN,2.89365245888058
9,37.3162298702619,NaN,8.71841177427977
10,NaN,0.00814775203400168,16.0274115366656
15,27.6643938374542,0.215645492736384,26.1295835570536
20,7.77316569442004,0.448105198079437,13.9427714435058
25,2.08664021354392,0.615391191865413,3.31892469765501
30,0.37402606117114,NaN,2.2325859677685
35,0.0722754234656656,0.350145668533808,0.723298996635278
40,NaN,NaN,0.151315830395764
45,0.0253838472659952,0.186917495220086,NaN
50,NaN,NaN,0.0171305739739103
55,0.0100638100378811,0.071468111050503,0.00229729385680554
65,0.00793799627510601,0.0171439541634861,NaN
75,0.00684440176517231,NaN,NaN
80,NaN,0.00193314352542155,NaN
90,0.00983083090289359,NaN,NaN
100,0.0182404441061059,NaN,NaN
