t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.027316507865861,0.00213360611090817,21.5481481477471,0.364418672035281
8.5,NaN,NaN,93.9295532520017,NaN
10,12.3904029451537,0.00663141932777523,NaN,7.37159375135741
20,NaN,NaN,39.6606331531619,12.1910117041449
25,1.10345517547587,0.416864127606408,31.8233305433599,NaN
35,0.0886866067175589,0.336501124969792,NaN,0.587699267866409
40,NaN,NaN,17.2609679252313,NaN
45,NaN,NaN,NaN,0.060057914170167
50,0.00992926456109331,NaN,18.1492470078419,NaN
55,NaN,0.0326302730355849,NaN,NaN
65,NaN,NaN,16.0336664831915,0.0261096248006679
70,0.00736528904215494,0.00511256024137514,NaN,NaN
80,NaN,NaN,17.2994579233492,0.0488087717638824
95,0.0112491189849555,0.00144400170165737,26.485568683631,NaN
100,NaN,NaN,NaN,0.161246908289822
