t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.018991442172193,0.00267380272988582,0.508904555760153
7.5,NaN,0.00264759803336526,NaN
10,11.1928678170236,NaN,4.55474901858095
15,NaN,0.0393158932538559,NaN
20,4.33841929590946,NaN,NaN
25,NaN,0.442045915094795,5.44775925568741
30,0.263839786369245,0.32651205811856,NaN
35,NaN,NaN,0.396959961922078
45,0.0213450166798008,0.127554229330917,NaN
50,NaN,NaN,0.0138378500869097
55,NaN,0.0465039460961709,NaN
65,0.0155183959150917,NaN,0.0198402640017628
70,NaN,0.00347800313073084,NaN
85,0.00937342787526825,0.00136313571323601,0.0745234906771681
100,NaN,NaN,0.0718087809357068
