t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_1_Obs,Compound_2_Obs
0,0.0364626640809903,0.00223318265559486,23.2454626920251,0.427594404277141
9,NaN,NaN,108.689366665767,NaN
10,38.3287018859782,0.00949968331125033,NaN,13.5255015843327
20,6.23444363428884,0.496682036381435,46.5761115339728,23.8029035267987
30,NaN,NaN,20.6024710251509,2.43676856174423
35,0.132446276523363,0.753770336757308,NaN,NaN
40,NaN,NaN,20.4680920716471,NaN
45,0.00968768804107928,0.147668325804457,NaN,0.0833934300164244
50,NaN,NaN,21.8296826722611,NaN
60,0.0105985959188642,0.0242059214008848,NaN,0.00797882678253452
65,NaN,NaN,14.6338315077202,NaN
75,NaN,NaN,NaN,0.0496485217459625
80,0.656149486940161,0.00158715471008531,44.4065458226964,NaN
100,0.765961150309723,0.0731559713017642,33.2038904796135,1.60697325197597
150,1.58077042637409,0.0026902995420082,50.3851469511858,NaN
