t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0283032077230397,0.00256331648525116,0.515492862762012
8,NaN,0.00345014999163588,NaN
10,10.4130257689767,NaN,NaN
15,NaN,0.0870300274546557,26.5389646362404
20,4.00814291459939,NaN,NaN
25,NaN,0.270422426587374,3.72683768386855
30,0.378339326286038,NaN,NaN
35,NaN,0.385776105238383,NaN
40,NaN,NaN,0.0934098411171472
45,0.0164117778563682,NaN,NaN
50,NaN,0.0616130500828869,NaN
55,NaN,NaN,0.0102692514728717
60,0.0101372894485328,0.022559688283113,NaN
75,0.0436870768825171,NaN,0.0269086642571666
80,NaN,0.00181741133931027,NaN
95,NaN,NaN,1.14146500733157
100,0.890470270143624,0.0243041019104573,1.04037194486101
150,NaN,NaN,0.0981242121707993
200,NaN,NaN,0.195066486994615
250,NaN,NaN,0.262069548429993
