t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0354205676563785,0.00185551091616862,0.318505220176471
10,0.0130337545684341,NaN,0.176837814288256
15,NaN,0.00130890625169925,NaN
20,0.0103021054991908,NaN,NaN
25,NaN,0.00102350894678651,0.146834075267504
35,56.493544954115,NaN,NaN
40,NaN,0.192210373730031,33.2731277150751
45,10.3257603668613,NaN,NaN
50,NaN,NaN,8.39615235372931
55,NaN,2.00819003098889,NaN
60,0.0900062744987338,NaN,NaN
70,NaN,NaN,0.0466260963524764
75,NaN,0.182732259465429,NaN
80,0.0075232240602587,NaN,NaN
85,NaN,NaN,0.00512794182851348
95,NaN,0.00650279011045821,NaN
100,0.0408445267841512,0.00296677867990317,0.0255889470593678
150,0.0155922180955511,0.0321805088998346,0.0181820321267592
200,NaN,NaN,0.409688039045873
