t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0298818379771055,0.00279516923784263,0.4934914311771
7.5,13.5044589882153,NaN,NaN
10,NaN,0.0118906925904792,20.6630502551985
15,14.5220409423505,NaN,NaN
20,NaN,NaN,15.9378663976518
25,1.31302598807819,0.703812287774582,NaN
35,0.0826419835040223,NaN,0.437928744339309
40,NaN,0.359843168734035,NaN
45,0.0146541146416338,NaN,0.0702693172647903
55,NaN,0.0657485797946171,NaN
60,0.00864220888961136,NaN,NaN
65,NaN,NaN,0.0161992953476714
75,NaN,0.00381586002594987,NaN
80,0.00908016832738399,NaN,0.0396617942633805
100,NaN,0.000870215995899282,0.168955077828474
