t,input_il6,SOCS3RNA_Obs
46,0.1,0.000276600739983291
46,0.1,0.000398093481110546
46,0.5,0.000551272060762989
46,0.5,0.000815129472649258
46,1,0.000771467113180833
46,1,0.00103526877047747
46,2.5,0.00310807677490285
46,2.5,0.00330202938682289
46,5,0.00536145692957457
46,5,0.0090038428146869
46,10,0.0187324652673351
46,10,0.0217531943980378
46,25,0.0523580524572906
46,25,0.0547935097598529
46,50,0.0711412462408135
46,50,0.0995316687180425
46,100,0.129536772810714
46,100,0.138825124140376
46,500,0.248519002567288
46,500,0.337187714537209
