t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0537681057001959,0.000916817973862616,0.308557107241466
8.5,NaN,NaN,4.16177935901022
10,11.7386181461395,NaN,NaN
15,NaN,0.0461172075793455,NaN
20,NaN,NaN,17.9725246330084
25,2.7376134669188,NaN,NaN
30,NaN,0.720252672999914,2.09138527462021
40,0.0416747591226784,NaN,0.133814438203099
50,NaN,0.107589922176144,0.018050386996696
55,0.0114119911787091,NaN,NaN
65,NaN,NaN,0.0195172367602931
70,0.00825421635803525,0.00323874393491428,NaN
80,NaN,NaN,0.073608248308395
90,NaN,0.000157375220803323,NaN
95,0.0156981282185867,NaN,0.115123744268334
100,0.00765566593189229,0.000107740309144337,NaN
