t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0230919117250871,0.00122773284774096,0.543246572594409
4,0.00422469429138651,NaN,NaN
4.5,NaN,0.00082835166772906,NaN
8.5,0.00243216084546927,NaN,NaN
9,NaN,0.000849112641562433,NaN
15,0.000302883786355931,0.000789500082090521,NaN
20,6.89472037580915e-05,0.000426180286543957,NaN
25,2.42006319807152e-05,0.000361756588979658,0.135536979988219
30,1.21312336745747e-05,0.000202456346495829,NaN
40,1.32425567870897e-05,3.64629112081611e-05,NaN
45,NaN,2.148944897836e-05,0.135907896456821
55,NaN,4.01553893623753e-06,NaN
70,NaN,1.01366319222517e-06,0.141620065220138
80,NaN,5.31347938110267e-07,NaN
100,NaN,NaN,0.09880081031928
150,NaN,NaN,0.179940094220767
200,NaN,NaN,0.116354056561363
250,NaN,NaN,0.111220237188723
300,NaN,NaN,0.17878072683911
350,NaN,NaN,0.105427812183464
450,NaN,NaN,0.0537270586774755
