t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0333373764285058,0.00296880106483012,0.41736381654076
10,15.0126419084317,0.00511382553172292,6.85597125344304
20,7.50809643460197,NaN,NaN
25,NaN,0.557047858620368,4.19350211806881
35,0.128653096381424,0.412315574761467,0.719143036136894
45,0.0136231429984696,NaN,NaN
50,NaN,0.11403807749604,0.0153086389575515
60,0.00773806919856795,NaN,NaN
65,NaN,NaN,0.0165911932093646
70,NaN,0.0029656272648846,NaN
80,0.00795519508648935,NaN,NaN
85,NaN,NaN,0.0589164912215641
90,NaN,0.00118844874892355,NaN
100,0.00799147815427336,0.000829869915597482,0.0660008980052021
