t,nSOCS3RNA1_Obs,SOCS3RNA_Obs,Compound_2_Obs
0,0.0169318030595959,0.00140495833863441,0.409496615920465
3.5,0.0074883545978919,NaN,NaN
7,NaN,0.00132132397072512,NaN
7.5,0.00294408224303057,NaN,NaN
10,0.000783081577365367,NaN,NaN
15,0.000223049583387471,0.00101602093135432,NaN
20,7.69455131526163e-05,0.000530729950944574,NaN
25,NaN,NaN,0.128990541789553
30,9.99677775392394e-06,0.000175880537774276,NaN
35,9.21920407916812e-06,NaN,NaN
40,NaN,3.69381724467855e-05,NaN
45,NaN,NaN,0.121095399637687
50,NaN,7.75885065118389e-06,NaN
65,NaN,1.42700073306727e-06,NaN
70,NaN,NaN,0.163675744386159
80,NaN,1.18095374423423e-06,NaN
95,NaN,NaN,0.0978796751581075
100,NaN,1.54733671420248e-06,NaN
150,NaN,NaN,0.126161671310609
200,NaN,NaN,0.109040907918615
250,NaN,NaN,0.0817732251806669
300,NaN,NaN,0.0637174513711308
350,NaN,NaN,0.0735060963534642
450,NaN,NaN,0.0698859357178507
