t,input_ruxolitinib,SOCS3RNA_Obs
24,0,0.00092351388800965
24,10,0.00117726028313449
24,50,0.000917298565077788
24,100,0.00168007987498325
24,200,0.000736198115873271
24,200,0.00108490228251389
24,400,0.00100456807932584
24,400,0.00103575784204423
24,500,0.000640758470297463
24,600,0.001056285739701
24,800,0.000648348029807358
24,1000,0.00112076468754457
24,2000,0.000637633190926806
24,5000,0.000461593591201296
24,5000,0.000782210687890373
24,5000,0.000919278841060712
24,5000,0.000965427715274864
