t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00258526456290014,1.0324112198608,-0.0234387240153398,0.0352428266854861,0.0393182283230038,1.05764809620033
0.075,NaN,0.120582755218638,NaN,NaN,NaN,NaN
0.15,NaN,0.0150102770648738,NaN,NaN,NaN,NaN
0.2,0.0366051694849133,NaN,0.158237465398585,0.0659661535999415,0.750185655685166,0.100569552179062
0.25,NaN,0.0199784568784908,NaN,NaN,NaN,NaN
0.35,NaN,0.0137062281949333,NaN,0.132078676618253,NaN,NaN
0.4,NaN,NaN,0.321023174535837,NaN,0.610502689226691,0.120987297500967
0.45,0.0292852969032401,0.0274687846038281,NaN,NaN,NaN,NaN
0.55,NaN,-0.0196290545824477,NaN,NaN,NaN,NaN
0.6,NaN,NaN,0.391654952001995,0.189832372876475,0.490014286762612,0.167984918612733
0.65,0.0266013938996621,NaN,NaN,NaN,NaN,NaN
0.7,NaN,-0.00198429612572942,NaN,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.178231226847776,0.465533005245544,NaN
0.85,NaN,NaN,NaN,NaN,NaN,0.128974082235741
0.9,0.0227281724012956,0.00509345998958462,0.393562696133975,NaN,NaN,NaN
1,0.0199883784863494,NaN,0.364963753620962,0.167529648440093,0.33218842941671,0.107953155657708
1.5,0.0272654089485799,NaN,0.450324081680555,0.170264831262866,0.391993327277274,0.174225312382472
2,0.0218398586108588,NaN,NaN,0.244120316573845,0.442454948567286,0.192556211922527
2.5,0.0270569043455771,NaN,NaN,NaN,0.556145445408503,NaN
3,0.0239534496707347,NaN,NaN,NaN,0.382782057568958,NaN
3.5,0.0221268824142238,NaN,NaN,NaN,NaN,NaN
