t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0023400357306179,1.01020078960807,-0.00722818281294102,-0.0217866973286573,0.0523367203148913,0.985571459730736
0.095,NaN,0.163694193261433,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,NaN,0.140792693716862
0.2,0.0428375498906361,0.0326593129495029,0.164663431296028,0.0397043809730425,NaN,NaN
0.25,NaN,NaN,NaN,NaN,0.710268398480614,NaN
0.3,NaN,0.00827468948476188,NaN,NaN,NaN,NaN
0.35,NaN,NaN,NaN,NaN,NaN,0.18545088406679
0.4,0.0315276696126147,-0.0240082050430609,0.2739570780557,NaN,NaN,NaN
0.45,NaN,NaN,NaN,0.186998265613579,0.486889597582406,NaN
0.5,NaN,NaN,NaN,NaN,NaN,0.220000393383655
0.55,NaN,-0.00993733491476139,NaN,NaN,NaN,NaN
0.6,0.0279814321035255,NaN,NaN,NaN,NaN,NaN
0.65,NaN,NaN,0.361636673524863,NaN,NaN,NaN
0.7,NaN,0.00997090954416099,NaN,0.226986675485243,0.455516217555141,0.220148754371892
0.85,0.0166263965085485,NaN,NaN,NaN,NaN,NaN
0.9,NaN,-0.00593866293846261,0.331533175882415,NaN,NaN,NaN
0.95,NaN,NaN,NaN,0.163870163577685,0.495555600280082,0.139033122142624
1,0.0268508954444255,0.0123405363631402,0.357422189379898,NaN,NaN,0.181339421007004
1.5,0.033083648275012,NaN,0.45563008216494,0.201168356421445,0.487402830517258,0.166522021651054
2,0.0189008590160478,NaN,0.320386406173139,0.166500633038183,0.350753162006025,NaN
2.5,0.0125635588769335,NaN,NaN,NaN,0.395317541995434,NaN
3,0.0236307628239874,NaN,NaN,NaN,0.433623532151433,NaN
3.5,NaN,NaN,NaN,NaN,0.513251340588043,NaN
4.5,NaN,NaN,NaN,NaN,0.416842573635514,NaN
