t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0109534232911522,1.02730551136691,-0.0814116444535693,0.000976617039312329,0.0735852864582041,1.02570588957392
0.1,NaN,-0.0314036316131118,NaN,NaN,NaN,NaN
0.15,0.0833095778543592,NaN,NaN,NaN,0.719301452963522,NaN
0.2,NaN,NaN,0.399482663336699,0.06129071334477,NaN,-0.0118166928610346
0.25,NaN,0.00183266740791771,NaN,NaN,NaN,NaN
0.3,0.0521886566942962,NaN,NaN,NaN,0.52785687095222,NaN
0.35,NaN,0.0330662892241849,NaN,NaN,NaN,0.0645927008314725
0.4,NaN,NaN,0.563569143848588,0.0532674379764064,NaN,NaN
0.45,0.0443171321655749,NaN,NaN,NaN,0.526906750455317,NaN
0.5,NaN,0.0241478957192408,NaN,NaN,NaN,NaN
0.55,NaN,NaN,NaN,NaN,NaN,0.0515686665598536
0.6,0.0332187917905506,NaN,NaN,NaN,NaN,NaN
0.65,NaN,NaN,0.537459899281742,0.072138182533147,0.304872018348911,NaN
0.7,NaN,0.00486324885134596,NaN,NaN,NaN,NaN
0.8,0.0260558407627567,NaN,NaN,NaN,NaN,0.00260707718848276
0.85,NaN,NaN,NaN,NaN,0.327640345148798,NaN
0.9,NaN,0.0068007549927598,0.675846405698927,0.0610723192045852,NaN,NaN
1,0.0290720754079885,-0.0199305455697556,0.693698495954927,0.0698393485650056,0.45691140958751,0.0300906012916941
1.5,0.0367164655837137,NaN,0.624198228847227,0.0634581759349935,0.234568922602871,0.0404157249002397
2,0.0365008742417224,NaN,0.55172878175149,0.062832697669686,0.494910081353342,NaN
2.5,0.0517370142123243,NaN,NaN,NaN,0.357295018725076,NaN
3,NaN,NaN,NaN,NaN,0.322669968995872,NaN
