t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.000242438036105201,0.998159274313207,-0.00336853689794318,-0.154775458171024,0.044110067855303,1.00741159828379
0.075,NaN,0.00149986888400228,NaN,NaN,NaN,NaN
0.15,NaN,-0.011150934607551,NaN,NaN,0.633670384553185,NaN
0.2,0.00340368940564544,NaN,0.0149981912006556,NaN,NaN,0.341814972269721
0.25,NaN,-0.0311665641965092,NaN,0.57089010213044,NaN,NaN
0.3,NaN,NaN,NaN,NaN,0.428792835390348,NaN
0.35,NaN,0.00360419035277652,NaN,NaN,NaN,NaN
0.4,NaN,NaN,NaN,NaN,NaN,0.635992288467476
0.45,0.00168587553716016,0.0053496032073345,0.0180564536383563,NaN,0.387830257097525,NaN
0.5,NaN,NaN,NaN,0.538391062926182,NaN,NaN
0.55,NaN,-0.00606490680195804,NaN,NaN,NaN,NaN
0.6,NaN,NaN,NaN,NaN,NaN,0.762624877659359
0.65,NaN,NaN,NaN,NaN,0.382706769843974,NaN
0.7,0.00129227778505139,-0.0078741955728749,0.0250423437342961,NaN,NaN,NaN
0.8,NaN,NaN,NaN,0.654785039163349,0.367451576853792,0.671679644524406
0.9,NaN,0.0150329812163804,NaN,NaN,NaN,NaN
1,0.00172388563930715,NaN,0.0212266779857674,0.426148664670412,0.339409801598944,0.628986967640644
1.5,0.00170623626311926,NaN,0.0212271027730067,0.716950935935024,0.278282036785586,0.801463362132558
2,0.00192504274098508,NaN,0.0278511113440903,0.565079245474409,0.286511800149113,0.789023430765891
2.5,0.00147781992007288,NaN,NaN,0.670379430998491,0.402080529809619,0.615211010812163
3,NaN,NaN,NaN,NaN,NaN,0.773770348233499
3.5,0.00116308682009857,NaN,NaN,NaN,NaN,0.470840048954923
