t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.000543113729980947,0.995074570354342,-0.0374317490620783,-0.0281752289380627,-0.0146472773578175,0.995063359435064
0.095,NaN,-0.0256765433208815,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,0.874542184282328,NaN
0.2,0.0141089369788498,-0.00490968056230234,0.0382823209260793,0.137437698384909,NaN,0.0285988017820621
0.3,NaN,-0.0252304779029596,NaN,NaN,NaN,NaN
0.35,NaN,NaN,0.121825634641061,NaN,0.531752162561099,0.287427496615315
0.4,NaN,NaN,NaN,0.463531182398922,NaN,NaN
0.45,0.00909606049966872,-0.0106022452073613,NaN,NaN,NaN,NaN
0.5,NaN,NaN,NaN,NaN,0.55713878103383,NaN
0.55,NaN,NaN,0.138102941921653,NaN,NaN,0.352198433968428
0.6,NaN,-0.00885025675778236,NaN,0.318681692353313,NaN,NaN
0.65,0.0114908772418328,NaN,NaN,NaN,NaN,NaN
0.7,NaN,NaN,NaN,NaN,0.468609626916006,NaN
0.75,NaN,-0.00819571275379835,NaN,NaN,NaN,NaN
0.8,NaN,NaN,0.109920968439262,NaN,NaN,0.482367675483609
0.85,NaN,NaN,NaN,0.423345520047164,NaN,NaN
0.9,NaN,NaN,NaN,NaN,0.474657142696279,NaN
0.95,0.0080538250725885,0.0237391159028507,NaN,NaN,NaN,NaN
1,0.0101015348235751,NaN,0.14511340235663,0.337259276370449,0.43719513810161,0.458296531427886
1.5,0.00835296408461406,NaN,0.108038825060363,0.378146840677045,0.389383554128809,0.438721391282324
2,0.0121192191817454,NaN,NaN,0.279757831478988,0.421893784213558,0.433534396354333
2.5,0.0127066018326907,NaN,NaN,NaN,0.38736746980609,NaN
3,0.00746833587486465,NaN,NaN,NaN,0.528227270593476,NaN
