t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,0.00670317616593484,0.987587939369365,-0.0441273974154713,0.0193288066657052,0.00451534397935142,0.970635192720554
0.09,NaN,-0.0131129091181824,NaN,NaN,NaN,NaN
0.15,NaN,NaN,NaN,NaN,0.755259362640644,NaN
0.2,NaN,-0.0154823608338243,0.209664722179144,0.0926427259635989,NaN,0.0710611184173758
0.25,0.0375876472715648,NaN,NaN,NaN,NaN,NaN
0.3,NaN,0.00722104853553684,NaN,NaN,NaN,NaN
0.35,NaN,NaN,0.25311416074367,NaN,0.412936204673999,NaN
0.4,NaN,-0.00930656236913265,NaN,0.153907702760319,NaN,0.143610394221989
0.5,0.0322563757392769,NaN,NaN,NaN,NaN,NaN
0.55,NaN,0.00941680560233828,0.341460871436108,NaN,0.514845184236333,NaN
0.6,NaN,NaN,NaN,0.161992919690604,NaN,0.0887957801758014
0.7,NaN,0.0126309111585287,NaN,NaN,NaN,NaN
0.75,0.0259307376945208,NaN,NaN,NaN,0.509960098831783,NaN
0.8,NaN,NaN,0.354542116004944,0.17592460026078,NaN,NaN
0.85,NaN,-0.00268063259510375,NaN,NaN,NaN,0.151289780805396
1,0.0216236001905704,0.0221781071935812,0.440068949320701,0.132416824095903,0.434570746510853,0.160848586664351
1.5,0.0279764851997252,NaN,0.427326773641763,0.120597349487457,0.527584078902154,0.213243446870667
2,0.0230359191544813,NaN,NaN,0.174415485597042,0.37143288986521,0.280732580596006
2.5,NaN,NaN,NaN,NaN,0.343181399369893,NaN
3,0.023176128487868,NaN,NaN,NaN,0.45907487579022,NaN
3.5,0.0227929066798504,NaN,NaN,NaN,NaN,NaN
