t,IPR_O_Obs,IPR_R_Obs,IPR_S_Obs,IPR_I2_Obs,Compound_1_Obs,Compound_2_Obs
0,6.40956172924154e-06,0.974338483837159,1.88457623878656e-05,-0.0554203535380589,0.000156617698810063,0.914915726658644
0.075,NaN,-0.00354812168663438,NaN,NaN,NaN,NaN
0.1,NaN,NaN,NaN,NaN,0.762451943775043,NaN
0.15,0.000368475991967062,-0.000634757131269997,NaN,0.505039176996904,NaN,0.559592936856512
0.2,NaN,NaN,NaN,NaN,0.404733139063206,NaN
0.25,NaN,0.0247348966466858,NaN,NaN,NaN,NaN
0.3,0.000178831961520472,NaN,NaN,0.731540147492638,NaN,0.722080554892119
0.35,NaN,0.0218582014538184,NaN,NaN,0.242169346253512,NaN
0.45,0.000177575787011434,-0.00887672957068932,NaN,0.741156056087174,0.187429054924573,NaN
0.5,NaN,NaN,NaN,NaN,NaN,0.599902381413509
0.55,NaN,-0.0347581780008784,0.00277019192406412,NaN,NaN,NaN
0.6,0.000141696256382322,NaN,NaN,NaN,0.266281114283403,NaN
0.65,NaN,NaN,NaN,0.775803448266332,NaN,NaN
0.7,NaN,-0.0211935474200998,NaN,NaN,NaN,0.996604193310752
0.75,NaN,NaN,NaN,NaN,0.31448770200017,NaN
0.85,0.00016869120457619,NaN,NaN,NaN,NaN,NaN
0.9,NaN,0.0125536142835571,NaN,0.668151921285515,NaN,0.823973101722836
0.95,NaN,NaN,NaN,NaN,0.168487560383309,NaN
1,0.000149554636183537,NaN,0.00236335756961515,0.729293691727803,0.272660210405983,0.69249878604795
1.5,0.000170353833904469,NaN,NaN,0.794835239401551,0.183742503876175,0.47784824556427
2,0.00018082313354515,NaN,0.00237879518791534,NaN,0.3271093166505,0.459492623003405
2.5,NaN,NaN,0.002612680701699,NaN,NaN,0.932619486002223
3.5,NaN,NaN,0.00381489680922354,NaN,NaN,NaN
4.5,NaN,NaN,0.00263168704858408,NaN,NaN,NaN
