t,EpoR_Obs,Epo_EpoR_Obs
0,288.870978910652,3.04211605498028
25,83.6687888582988,NaN
30,NaN,73.9992799277495
55,52.9875670854198,NaN
60,NaN,54.4683679080508
85,49.2898804980914,NaN
95,NaN,53.1731676725978
100,49.0476987152294,NaN
150,70.586006193233,42.8072992515949
200,108.577265125145,41.6289513402876
250,130.974631877387,26.216558883623
300,177.997497523494,21.1474309316261
350,225.170844246058,7.83100804950341
450,263.106793231154,2.29273672692741
500,NaN,2.70280097085668
550,282.557440657726,NaN
600,NaN,-2.42727290350332
