t,nSTAT4_Obs,nSTAT5_Obs
0,-0.00272032135777065,0.00531962887050529
5.5,0.0459541300068421,0.0136931298414679
10,0.280523986662086,0.22856511641633
15,0.27965208038577,NaN
20,NaN,0.262986426397739
25,0.25199393278701,0.262534980710617
30,0.230730491772159,0.236217100306146
40,0.147127358685123,0.159362175931645
45,0.100104364622111,NaN
50,NaN,0.0614947698310088
60,0.00886534601618028,0.0241632061591794
70,0.00266725093682716,NaN
75,NaN,-0.00795612363959947
85,0.00912716460070748,NaN
90,NaN,-0.0123220992583047
