t,EpoR_Obs,Epo_EpoR_i_Obs,dEpo_i_Obs
0,452.523805160302,11.6620863944978,-15.7987901034886
30,NaN,172.696757630967,NaN
35,113.099689259676,NaN,3.90632452997449
60,NaN,305.992912980678,NaN
75,97.5111783616855,NaN,26.915961167403
95,NaN,273.857346859648,NaN
100,88.9593822327372,NaN,26.0851964115311
150,81.6057932968928,258.446057086543,50.6051700834746
200,228.40255644066,207.313094916486,62.6854799479887
250,145.767210075313,169.513500596182,81.0565239320361
300,227.867239965434,147.404831350174,81.6691745938889
350,NaN,117.50684193987,NaN
400,254.065001697641,NaN,110.960054621895
450,NaN,93.5414800952349,122.493446991297
500,373.571524990553,42.4530942103065,NaN
600,417.862711704208,23.0648492050839,125.015720890339
700,427.287964542951,NaN,124.948796265435
750,NaN,-28.5746481390693,NaN
