t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs
0,65.1728822295701,53.654835334365,-8.08062086662814e-08,0.74113599786907,-1.31255811968352
20,NaN,176.870019388779,NaN,NaN,NaN
25,31.9452497072112,NaN,4.39645305647203e-06,NaN,NaN
30,NaN,NaN,NaN,20.8487591450272,17.7471263314246
45,NaN,155.895805645367,NaN,NaN,NaN
50,25.9625700011165,NaN,3.36389725422931e-06,NaN,NaN
60,NaN,NaN,NaN,NaN,49.0267860794081
65,NaN,167.153689032376,NaN,35.7890946663101,NaN
75,22.4622496183087,NaN,2.32898073139535e-06,NaN,NaN
90,NaN,133.33371504141,NaN,NaN,47.8032819732724
100,21.601356738935,137.589684712234,2.3081197967181e-06,61.9800478319929,NaN
150,18.3918792276767,140.717503127176,1.6652205342514e-06,73.4965389231418,80.2031986305976
200,22.7763602215391,108.60583197221,8.24075409975573e-07,86.487662325172,87.3629785087765
250,19.3610832486525,102.027192692203,NaN,97.6371551513148,100.148237877536
300,20.1830181832983,96.443587456177,NaN,117.573670918208,106.917560336206
350,20.0843490404284,79.8917231839129,NaN,119.921469071964,NaN
400,NaN,NaN,NaN,NaN,107.430101593285
450,22.3113923747471,56.4757977143733,NaN,119.620164731782,NaN
500,NaN,NaN,NaN,NaN,121.805450409311
550,20.2293578735755,53.7399009376619,NaN,115.147000502814,NaN
600,NaN,NaN,NaN,NaN,106.323440876862
650,24.8476220836886,NaN,NaN,122.074393624744,NaN
