t,Compound_1_Obs,Compound_2_Obs
0,0.940474914460286,-0.0151117429308645
5,NaN,0.396748538375895
9,0.305612710449451,NaN
10,NaN,0.468428283303001
15,NaN,0.436522973550197
20,0.226678181504348,0.479088065990832
25,0.339334898243382,NaN
30,NaN,0.487625267602961
35,0.274822614560866,0.453258876494084
45,NaN,0.289301483559788
50,0.890242818954128,NaN
55,NaN,0.029173056462707
60,0.801691366831727,NaN
70,NaN,0.0176864918164775
75,1.08013012979301,NaN
85,NaN,-0.00595265113915653
95,0.867307057556822,NaN
100,0.942969686837344,NaN
150,0.968677618783279,NaN
200,0.998325879978516,NaN
