t,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,7.6982384304795e-05,0,0.000974918675298852
0.3,0.017585900995471,0.72461236122093,0.281578568232119
0.55,NaN,NaN,0.460415488194099
0.6,0.0364387005171373,0.460680721265054,NaN
0.9,NaN,0.442021063915745,0.495750037168329
0.95,0.0347592156715326,NaN,NaN
1,NaN,0.33775367820719,0.549476433995053
1.5,0.0306454361322135,0.352678201412377,0.449740725420514
2,0.0284892724316808,0.488795594091139,0.87639185682548
2.5,0.0277113145399232,0.157361904662754,0.602148257707151
3,NaN,0.324512368682079,0.932194443324203
3.5,0.0261140142315322,0.276759479749246,0.80210031230945
4,0.0194619263657276,NaN,NaN
4.5,NaN,0.348613314499157,0.663905930086513
5,NaN,NaN,0.624597559955931
5.5,NaN,0.303879805884548,NaN
