t,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,0.000635039160224514,0,0.00096834562990991
0.35,NaN,0.730806091839426,0.210641030011995
0.7,NaN,NaN,0.350773226821646
0.75,NaN,0.397111344774286,NaN
1,NaN,0.492169431239225,0.398190077627743
1.5,0.129727342632113,0.367418655553284,0.447887102609196
2,NaN,0.395274802564175,0.36819011886334
2.5,NaN,0.324221162427237,0.675980970372741
3,NaN,NaN,0.406698283941856
3.5,0.149047959837015,0.775604132203792,0.349375823080515
4,NaN,0.312150587205057,0.398328280978028
5,NaN,0.373088345440234,0.513738134042755
5.5,0.0962924380106398,NaN,NaN
6,NaN,0.463132423787485,0.70794777510962
7.5,0.0915487232381062,NaN,NaN
10,0.127261504051891,NaN,NaN
15,0.162530406845341,NaN,NaN
