t,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,7.8056551759625e-05,0,0.00141069776058296
0.35,NaN,NaN,0.127095893891595
0.4,NaN,0.565674785117703,NaN
0.75,NaN,0.46379837656013,0.32630521231339
1,NaN,0.792786260270014,0.220178803821163
1.5,NaN,0.426908966212943,0.334985669978885
2,0.119352766045769,0.294281677240543,0.64710637234143
2.5,NaN,0.314308987921518,0.308757533956019
3,NaN,NaN,0.488838116733912
3.5,NaN,0.383646172103186,0.591964528510576
4,NaN,0.258669358061674,NaN
4.5,0.18352068268263,NaN,0.582453813573484
5,NaN,0.340563708827244,NaN
5.5,NaN,NaN,0.651334716382646
6.5,NaN,0.3304532748946,0.478059688929007
7,0.0830283260863234,NaN,NaN
10,0.15210716234626,NaN,NaN
15,0.106192991838456,NaN,NaN
20,0.10833828132642,NaN,NaN
