t,IPR_S_Obs,IPR_A_Obs,IPR_I2_Obs
0,5.99006255754242e-07,0,0.00109944624998468
0.15,NaN,0.582658346934764,0.291178130482815
0.3,NaN,0.386613211242806,0.496453939601278
0.45,0.000485471815913769,0.367867070800171,0.954744401529314
0.6,NaN,0.263338618583698,0.676309257060945
0.75,NaN,0.509279216800799,NaN
0.8,NaN,NaN,0.734849320200289
0.95,0.000423247540752157,0.230929179547565,NaN
1,NaN,0.209082578077037,0.507330122577023
1.5,0.000277483790941918,0.153929596725533,0.735082187683813
2,0.000319434024116671,0.293927983181409,0.740158766210391
2.5,0.000417132389207277,0.155107347719736,1.09309449131277
3,NaN,0.16884524803893,0.652672895569859
3.5,0.000348392491866601,NaN,NaN
4,0.000338708876719267,NaN,NaN
5,0.000302387040682951,NaN,NaN
6.5,0.000249797738718606,NaN,NaN
